,City,lat,lng,Population,Density,Surface,Depriv_idx,CovidCases_jan_jun_2020,MaxHospitalized_jan_jun_2020,AvgHospitalized_jan_jun_2020,Deceased_jan_jun_2020,MaxIntensiveCare_jan_jun_2020,AvgIntensiveCare_jan_jun_2020,mean_pm10_ug/m3_mean_jan_jun_2020,mean_pm10_ug/m3_std_jan_jun_2020,mean_pm10_ug/m3_median_jan_jun_2020,max_pm10_ug/m3_mean_jan_jun_2020,max_pm10_ug/m3_std_jan_jun_2020,max_pm10_ug/m3_median_jan_jun_2020,min_pm10_ug/m3_mean_jan_jun_2020,min_pm10_ug/m3_std_jan_jun_2020,min_pm10_ug/m3_median_jan_jun_2020,mean_pm10_ug/m3_mean_jan_jun_2020,mean_pm10_ug/m3_std_jan_jun_2020,mean_pm10_ug/m3_median_jan_jun_2020,mean_pm10_ug/m3_mean_2019,mean_pm10_ug/m3_std_2019,mean_pm10_ug/m3_median_2019,max_pm10_ug/m3_median_2019,max_pm10_ug/m3_mean_2019,max_pm10_ug/m3_std_2019,min_pm10_ug/m3_median_2019,min_pm10_ug/m3_mean_2019,min_pm10_ug/m3_std_2019,Zone,Region
23,Citta_di_Castello,43.4574214,12.2403118,39192,101.0,387.32,1.0496640205383299,120,25,8.566037735849056,14,3,0.5849056603773585,17.112920993124327,13.411917432323165,14.223232126695676,50.9500837797647,49.221301815097846,35.27336311340332,4.551413122441742,3.4314141554924547,3.749012351036072,17.112920993124327,13.411917432323165,14.223232126695676,16.309435429024465,7.713541162332034,14.68462394833142,37.352317810058594,47.138397540784865,31.53953450094677,3.9239115715026855,4.9157638512245585,3.456098012134252,di valle,Umbria
24,Collazzone,42.9004677,12.4351856,3388,61.0,55.68,2.4429678916931152,6,1,0.21904761904761905,1,1,0.06666666666666668,19.161849114383987,10.420141160830244,16.552427316611663,34.11984452048501,20.02878989399364,29.216938972473145,10.70427692263991,5.905038277232458,8.487494945526121,19.161849114383987,10.420141160830244,16.552427316611663,18.273770993452693,7.951134126058895,16.93778525583399,26.987531661987305,30.788398698258074,15.536524281261391,9.889837265014648,10.540255378043817,5.124564629496746,di valle,Umbria
25,Corciano,43.1290269,12.287718,21469,337.0,63.72,-0.15188969671726227,37,3,1.0377358490566038,1,1,0.018867924528301886,17.535168430045285,11.104160004807731,15.108138584004815,34.47668771953373,23.11501476696708,27.8302001953125,8.462144246468178,5.231251220757968,6.793923377990723,17.535168430045285,11.104160004807731,15.108138584004815,17.222847874589988,7.89155360548422,15.936228445334027,28.2609920501709,32.35327851021127,17.840198582605453,8.278607368469237,8.817654869654406,4.858753737007771,di valle,Umbria
26,Costacciaro,43.360408899999996,12.7123784,1143,28.0,41.06,-1.1677874326705933,5,1,0.05,1,1,0.05,14.319018346696124,12.25687511042808,11.931733525225098,27.123158787633038,23.068177272103572,23.4877347946167,5.939629581275878,8.160674092656711,4.027034521102906,14.319018346696124,12.25687511042808,11.931733525225098,14.170406019889471,7.384323843554728,12.176468688817256,21.571992874145508,25.4249201304292,13.94258812768256,4.759284496307373,6.121777537995823,4.7927786769577585,collinare e montana,Umbria
27,Deruta,42.98229,12.4195878,9587,215.0,44.51,0.10629819333553314,15,5,0.9528301886792452,2,1,0.19811320754716985,20.057016102848294,12.075833762302327,16.96738138910412,37.55046196298285,25.35468274278027,29.35309410095215,9.400283475498576,5.498063097987281,7.625596761703491,20.057016102848294,12.075833762302327,16.96738138910412,18.977886957083328,8.403956344363607,17.431368597718173,28.906494140625,34.28766854952461,19.416297250763687,8.771880149841309,9.512900012813203,5.019532868234198,di valle,Umbria
28,Fabro,42.8634804,12.0128824,2733,79.0,34.55,0.05424366891384125,0,0,0.0,0,0,0.0,18.10238184825597,9.962081060440603,15.916875013460714,30.185417568290628,17.114343592088257,25.90361404418945,11.118634839634321,6.2748715823091175,8.991518497467041,18.10238184825597,9.962081060440603,15.916875013460714,17.562651758409665,7.51875470158405,16.477921932935715,24.96500968933105,27.911246294518037,13.22510863034398,10.550931930541992,11.17119537902205,5.243564492997541,collinare e montana,Umbria
29,Ferentillo,42.620767799999996,12.7887263,1839,26.0,69.59,-1.3708194494247437,1,0,0.0,0,0,0.0,12.922385146525578,6.74724000475559,11.42291925082604,30.282965109898488,14.990048007792867,26.64960289001465,4.801361923198123,4.787006642017748,3.3722628355026245,12.922385146525578,6.74724000475559,11.42291925082604,13.603704852037554,7.52421315430739,11.673321001529693,25.90952491760254,30.821803923828963,17.173047464667874,3.8101537227630615,5.1630267651930275,4.6374733620049975,collinare e montana,Umbria
30,Ficulle,42.8362745,12.0656093,1622,25.0,64.62,-2.9391674995422363,0,0,0.0,0,0,0.0,18.0889392074734,9.55124141421334,15.891081904061144,31.807628511072515,17.533903092224676,28.446720123291016,9.507203464324657,5.4102339562673,7.86645770072937,18.0889392074734,9.55124141421334,15.891081904061144,17.603805542105736,7.5261040468236375,16.568288595726088,26.13088417053223,29.31152728355094,14.141780303137036,9.235966682434082,9.894444038116767,4.944371747380734,collinare e montana,Umbria
31,Foligno,42.956182500000004,12.703334,56939,215.0,264.67,0.7586395740509033,44,9,3.0754716981132075,3,5,1.4245283018867925,14.674464437030926,8.488829068206785,13.016852810486126,45.2525973686805,32.234063766282176,34.55303382873535,4.107254367608291,3.516351280489493,3.2705607414245605,14.674464437030926,8.488829068206785,13.016852810486126,14.65290006256642,7.162779991469513,12.708910159530149,32.882640838623054,41.89685898872271,30.511303766116534,3.804542064666748,4.579725909641344,3.5280436394860657,di valle,Umbria
32,Fossato_di_Vico,43.2976278,12.7598803,2738,77.0,35.39,-0.869345486164093,0,0,0.0,0,0,0.0,14.266652074204352,11.080413984829773,12.084565394691058,27.264775179244666,19.19478427400032,23.81807613372803,6.959371448218168,7.125641313277215,5.034933567047119,14.266652074204352,11.080413984829773,12.084565394691058,14.326651006974936,7.396648985943421,12.653410714297069,22.50316047668457,26.19720640574416,14.144196245818346,6.02290678024292,7.239119722091987,4.8673425261883185,collinare e montana,Umbria
33,Fratta_Todina,42.8579783,12.3646718,1840,106.0,17.43,-1.1414637565612793,5,3,0.9905660377358492,0,0,0.0,20.454679954121964,11.432805540350428,17.37129921656029,33.27952721354725,18.749251671016225,28.455910682678226,11.047611440931046,6.228414532648539,8.862645149230957,20.454679954121964,11.432805540350428,17.37129921656029,19.370880493437642,8.390768518340161,17.856243054072067,26.95114707946777,30.32549402942396,15.576204770437615,10.33084774017334,11.036798722123446,5.33454175090246,collinare e montana,Umbria
34,Giano_dell_Umbria,42.8334672,12.577711099999998,3813,86.0,44.48,1.7332770824432373,5,4,0.9387755102040816,1,1,0.19387755102040816,16.096722540768276,8.153345866161779,14.63839931223999,29.51367336315113,13.676201065844753,26.22939682006836,6.5838515286917225,5.056377947782146,5.223358631134033,16.096722540768276,8.153345866161779,14.63839931223999,15.913732348973186,7.3016404426802115,14.263906352352677,25.68680191040039,30.342955815302183,16.22517337935673,5.809267044067383,6.7100460932679376,4.504664737901889,collinare e montana,Umbria
35,Giove,43.0814783,12.775591,1874,124.0,15.09,-2.70854115486145,49,5,1.8229166666666667,2,3,0.5104166666666666,22.67015129006975,11.63982889360754,19.82146612803141,39.568506282764474,21.293129194985283,32.99970245361328,12.258628056599546,6.540269783908715,9.862948894500732,22.67015129006975,11.63982889360754,19.82146612803141,21.071065563255136,8.894189600946564,19.821521894498304,31.518341064453125,35.93036911324279,18.10479421427476,11.01454257965088,11.74148120112615,5.553808736627693,collinare e montana,Umbria
36,Gualdo_Cattaneo,42.90940870000001,12.5558159,5827,60.0,96.63,2.0470283031463623,19,5,1.8269230769230769,0,2,0.4519230769230769,17.89075691322011,9.54818828498816,15.743079493645908,31.10119577030559,17.418758462837733,26.99428749084473,9.203370794490144,5.399493473088883,7.450744390487671,17.89075691322011,9.54818828498816,15.743079493645908,17.284326700673347,7.651586085741964,15.65254536615748,24.91905212402344,28.836921171946074,13.95594420086328,8.521462440490723,9.271226503097848,4.848698535302224,collinare e montana,Umbria
37,Gualdo_Tadino,43.2316518,12.7809617,14730,119.0,124.29,-0.8507810235023499,7,0,0.0,0,0,0.0,14.271780903358525,10.100406858773573,12.390169469326654,28.88821441000634,19.321291458622266,25.49144840240477,5.116145682695149,5.99880285470995,3.3197447061538705,14.271780903358525,10.100406858773573,12.390169469326654,14.473560540989851,7.373475386925103,12.689070556774613,24.81125259399414,28.94233812697946,15.715119600244506,4.148252010345459,5.377518299589418,4.481879133339586,collinare e montana,Umbria
